# --------------------------------------------------------------------
#
#                             Isida Jabber Bot
#                               version 2.30
#
#                          Russian locale (woman)
#
# --------------------------------------------------------------------
#                  (c) 2oo9-2o1o Disabler Production Lab.
# --------------------------------------------------------------------

# file: ../trunk/kernel.py
Unknown error!	Неизвестная ошибка!
Show svn log.\nsvn [http://]url [limit] - show last revision(s) limit\nsvn [http://]url rXXX - show XXX revision	Показ svn-лога.\nsvn [http://]url [limit] - показ последней ревизий или нескольких, если указан параметр limit\nsvn [http://]url rXXX - показ ревизии с номером XXX

# file: ../trunk/plugins/talkers.py
Talkers:\nNick\t\tWords\tPhrases\tEffect\tConference	Болтуны:\nНик\t\tСлов\tФраз\tКоэф.\tКонфа
Talkers:\nNick\t\tWords\tPhrases\tEffect	Болтуны:\nНик\t\tСлов\tФраз\tКоэф.
Show local talkers	Показ локальной базы "Болтунов"
Show global talkers	Показ глобальной базы "Болтунов"

# file: ../trunk/plugins/test.py
Passed!	Две полоски!
Check bot activity.	Проверка на "живость" бота.

# file: ../trunk/plugins/th.py
Executed threads: %s | Error(s): %s	Выполнено тредов: %s | Ошибок исполнения тредов: %s
Threads statistic	Статистика работы тредов

# file: ../trunk/plugins/todate.py
days	дней
day	день
Days	дня
was %s %s ago	был %s %s назад
today	сегодня
will be in %s %s	будет через %s %s
before the %s remained	до %s осталось
Date has already in past!	Дата уже прошла!
Calculate count of days for requested date, if the date is holiday, that returned title of holiday.\nSupported date formats: dd.mm.yyyy, dd.mm, dd.mm.yy, yyyy.mm.dd\nSupported splitters: ,-.:/\\\ntodate 05.09\ntodate 5/9/2010	Рассчет количества дней от текущей даты до заданной, если на заданную дату выпадает праздник, то возвращается название праздника вместо запрашиваемой даты\nПоддерживаемые форматы даты: dd.mm.yyyy, dd.mm, dd.mm.yy, yyyy.mm.dd\nПоддерживаемые разделители: ,-.:/\\\ntodate 05.09\ntodate 5/9/2010
Calculate count of days for requested date.\nSupported date formats: dd.mm.yyyy, dd.mm, dd.mm.yy, yyyy.mm.dd\nSupported splitter: ,-.:/\\\ntodate 05.09 before New year remained\ntodate 5/9/2010 before New year remained	Рассчет количества дней от текущей даты до заданной, с возможностью вставки собственного текста\nПоддерживаемые форматы даты: dd.mm.yyyy, dd.mm, dd.mm.yy, yyyy.mm.dd\nПоддерживаемые разделители: ,-.:/\\\ntodate 05.09 До дня победы осталось\ntodate 5/9/2010 До дня победы осталось

# file: ../trunk/plugins/torrent.py
Total results: %s \nTitle ::: Size ::: Peers [up/down]	Всего результатов: %s \nНазвание ::: Размер ::: Пиры [up/down]
\n%s. %s ::: %s ::: %s/%s\n  Torrent file: %s%s	\n%s. %s ::: %s ::: %s/%s\n  Torrent файл: %s%s
Incorrect tracker.	Неверно задан трекер.
Search in bittorrent trackers\ntorrent rutor - search in RuTor.org\ntorrent os - search in OpenSharing.org\ntorrent tracker\nquery\ncount	Поиск по торрент трекерам\ntorrent rutor - поиск по RuTor.org\ntorrent os - поиск по OpenSharing.org\ntorrent tracker\nquery\ncount

# file: ../trunk/plugins/turn.py
qwertyuiop[]asdfghjkl;'zxcvbnm,.`QWERTYUIOP{}ASDFGHJKL:"ZXCVBNM<>~	йцукенгшщзхъфывапролджэячсмитьбюёЙЦУКЕНГШЩЗХЪФЫВАПРОЛДЖЭЯЧСМИТЬБЮЁqwertyuiop[]asdfghjkl;'zxcvbnm,.`QWERTYUIOP{}ASDFGHJKL:"ZXCVBNM<>~
QWERTYUIOP{}ASDFGHJKL:"ZXCVBNM<>~qwertyuiop[]asdfghjkl;'zxcvbnm,.`	qwertyuiop[]asdfghjkl;'zxcvbnm,.`QWERTYUIOP{}ASDFGHJKL:"ZXCVBNM<>~йцукенгшщзхъфывапролджэячсмитьбюёЙЦУКЕНГШЩЗХЪФЫВАПРОЛДЖЭЯЧСМИТЬБЮЁ
Turn text from one layout to another.	Если не задан текст - "переворачивает" последнее сообщение с русской раскладки на английскую и обратно.

# file: ../trunk/plugins/watcher.py
Timeout for ask: %s | Timeout for answer: %s | Last ask: %s | Total checks: %s	Таймаут запросов: %s | Таймаут ответов: %s | Последний запрос: %s | Всего проверок: %s
Connection activity control.	Контроль активности соединения.

# file: ../trunk/plugins/wtf.py
What need to find?	Чего искать то будем?
Some matches in definitions: %s	Нечто похожее я видела в: %s
No matches.	Хм. Ничего похожего я не знаю...
I know that %s is %s	Я знаю, что %s - %s
All I know is: %s	Всё, что я знаю это: %s
Locale definition: %s\nGlobal: %s\nImported: %s\nTotal: %s	В этой конфе определений: %s\nГлобальных: %s\nИмпортировано: %s\nВсего: %s
Send to private %s	Отправлено в приват %s
Nick %s not found!	Ник %s не найден!
\nfrom: %s %s	\nот: %s %s
I know that %s was defined by %s %s %s	Я знаю, что %s было определено: %s %s %s
What search?	Чего искать то будем?
Not enough rights!	Ты ещё мал и глуп для этого!
This is global definition and not allowed to change!	Это глобальное определение и его нельзя изменить!
Definition removed!	Жаль, что такую полезную хренотень надо забыть...
Definition updated!	Боян, но я запомню!
Nothing to remove!	Хватит бухать! Я такого не знаю!
Definition saved!	Ммм.. Что-то новенькое, ща запомню!
What need to remember?	Чего запомнить то надо?
Random definition from base.	Показ случайного обределения из базы слов.
List of definitions in conference.\nwtfnames [all|global|import]	Показ списка определений в конференции.\nwtfnames [all|global|import]
Definitions count.	Показ количества определений в конференции.
Search in definitions base.	Поиск по базе определений.
Information about definition commiter.	Показ инфонмации о том, кто сделал определение.
Show definition with nick and date.	Показ определения вместе с ником и датой.
Show definition in private.\nwtfp word\n[nick]	Показ определения в приват, независимо от куда поступила команда.\nwtfp word - показать определение word себе в приват\nwtfp word\nnick - показать определение word в приват nick
Show definition.	Показ определения.
Set definition.\ndfn word=definition - remember definition as word\ndfn word= - remove definition word	Установка определения.\ndfn word=definition - запоминает definition как определение word\ndfn word= - удаляет определение word
Set global definition.\ngdfn word=definition - remember definition as word\ngdfn word= - remove definition word	Установка глобального определения.\ngdfn word=definition - запоминает definition как определение word\ngdfn word= - удаляет определение word

# file: ../trunk/plugins/www.py
RegExp not found!	RegExp не найден!
Site size limit overflow! Size - %skb, allowed - %skb	Превышен допустимый размер страницы! Размер - %skb, допустимо - %skb
Title: %s	Заголовок: %s
Show web page.\nwww regexp\n[http://]url - page after regexp\nwww [http://]url - without html tags	Показывает содержимое веб страницы.\nwww regexp\n[http://]url - страница, обработанная regexp\nwww [http://]url - страница с убранными html тегами
Show net header	Показывает заголовок файла

# file: ../trunk/plugins/wz.py
City not found!	Город не найден!
Weather by airport code. Full version.	Погода по коду аэропорта. Не оптимизированный вариант.
Weather by airport code. Short version.	Погода по коду аэропорта. Укороченный вариант.
Weather by airport code. Optimized version.	Погода по коду аэропорта. Оптимизированный вариант.
Search weather by code, city, country.	Поиск погоды по коду города, городу, стране.

# file: ../trunk/plugins/youtube.py
Search at YouTube	Поиск по YouTube

# file: ../trunk/plugins/ithap.py
Quote from ithappens.ru\nithap [number]	Цитата с ithappens.ru\nithap [номер]
