# --------------------------------------------------------------------
#
#                             Isida Jabber Bot
#                               version 2.30
#
#                         Ukrainian locale (woman)
#
# --------------------------------------------------------------------
#                  (c) 2oo9-2o11 Disabler Production Lab.
# --------------------------------------------------------------------

# file: ../trunk/kernel.py
Unknown error!	Невідома помилка!
Conference %s has been deleted from global ban list!	Конференція %s виключена зі списку глобального бану.
Conference %s has been added from global ban list!	Конференція %s додана до списку глобального бану.
Conference %s already exist in global ban list!	Конференція %s вже додана до списку глобального бану!
Your conference will be ignored for global ban!	Ваша конференція ігнорується при глобальному бані!
I need jid!	Необхідно вказати jid!
banned global by %s from %s	глобальний бан від %s з конференції %s
jid %s has been banned in %s conferences.	jid %s забанений в %s конференціях.
Found: %s	Знайдено: %s
No reason!	Привід не вказаний!
ban on %s since %s because %s	бан терміном %s починаючи з %s через %s
I don'n know %s, and use as is!	Я не в курсі, хто такий %s - баню як є!
I don't know %s	Я не знаю, хто такий %s
Command is locked!	Команда заблокована!
by Isida!	Isida: ;)
Ban user.	Забанити учасника.
Temporary ban.\ntban show|del [jid] - show/del temporary bans\ntban nick\ntimeD|H|M|S\nreason - ban nick for time because reason.	Тимчасовий бан.\ntban show|del [jid] - показати/видалити тимчасові бани\ntban nick\ntimeD|H|M|S\nreason - бан ніка nick на термін time через reason
Delete user affiliation.	Видалення афіляції
Get member affiliation.	Зробити учасника постійним.
Kick user.	Вигнати учасника.
Give participant.	Зробити учасником без повноважень.
Give visitor.	Зробити учасника гостем.
Give role moderator.	Зробити учасника модератором.
Global ban. Available only for confernce owner.\nglobal_ban del - remove conference from banlist,\nglobal_ban add - add conference into banlist,\nglobal_ban <jid> - ban jid in all rooms, where bot is admin.	Глобальний бан. Доступний лише власникам конференцій.\nglobal_ban del - видалити конференцію зі списку глобального бану,\nglobal_ban add - додати конференцію в список глобального бану,\nglobal_ban <jid> - забанити jid в усіх конференціях, де бот - адмін.

# file: ../trunk/plugins/net.py
What do you want to find?	Що ж будемо шукати?
I can't resolve it	Не ресолвиться
DNS resolver.	DNS-ресолвер.
Search domain zones TLD.	Пошук доменних зон TLD.

# file: ../trunk/plugins/paste.py
%s pasted by %s	%s запостив(ла) %s
Paste some text to server	Публікація тексту на сервері

# file: ../trunk/plugins/phone.py
Your search returns no results.	За вашим запитом нічого не знайдено.
Information about telephone city code, DEF code or search code for city.	Інформація про код міста, DEF-код, пошук коду за назвою.

# file: ../trunk/plugins/price.py
site input format is domain.tld	формат вводу сайту domain.tld
Estimated value %s is %s	Оціночна вартість домену %s складає - %s
What site be evaluated?	Який сайт оцінювати?
I can't process your request.	Не вийшло опрацювати запит.
Show estimated value of domain | Author: ferym	Показує орієнтовну оціночну вартість домену | Автор: ferym
Show estimated value of domain | Author: Disabler	Показує орієнтовну оціночну вартість домену | Автор: Disabler

# file: ../trunk/plugins/redirect.py
Redirect command output in private.	Перенаправляє виведення команди в приват.
Redirect command output in groupchat.	Перенаправляє виведення команди в конференцію.

# file: ../trunk/plugins/say.py
Message posted to Juick.	Повідомлення відправлено у Juick.
"Say" command. Bot say in conference all text after command.	Команда "Сказати". Бот видасть в поточну конференцію все, що буде після команди say.
Global message in all conferences, where bot is present.	Глобальне оголошення у всіх конференціях, де знаходиться бот.
Send message to blog at juick.com	Відправлення повідомлення в блог на juick.com
Set conference topic.	Установка теми конференції

# file: ../trunk/plugins/sayto.py
You access level is to low!	Для вас ця функція недоступна!
for	для
Not transfered messages: %s	Не передані повідомлення: %s
I will convey your message.	Передам.
Or am I a fool or %s is here.	Чи я дурепа, чи %s знаходиться тут...
I seen some people with this nick, and I can convey is incorrect. Coincidence: %s, and count convey messages: %s	Я бачила кілька людей з таким ніком і можу помилково передати. Збігів: %s, буде передано повідомлень: %s
All people with this nickname are here!	Усі, кого я бачила з таким ніком, знаходяться в конфі!
This jid is here!	Даний jid знаходиться в конфі!
I didn't seen user with jid %s, but if he join here I convey your message.	Я не бачила учасника з jid'ом %s, але якщо побачу - передам
I didn't see user with nick %s. You can use jid.	Я не бачила %s в конференції. Ви можете вказати jid.
What convey to?	Кому що передати?
%s (%s ago) convey for you: %s	%s (%s тому) просив передати: %s
%s convey for you: %s	%s просив передати: %s
%s from conference %s convey message for you: %s	%s з конференції %s передав: %s
"Say to" command.\nsayto jid|nick message - if jid or nick join in conference, bot send "message". Messages saves 14 days, after if message didn't be send this message remove.	Команда "передати".\nsayto jid|nick message - при вході в конференцію jid'a або ніка відправити повідомлення "message". Повідомлення зберігаються 14 днів, після чого недоставлені повідомлення видаляються.
Send message to jid\n sayjid jid message.	Відправити повідомлення на jid.\nsayjid jid message

# file: ../trunk/plugins/setnick.py
You can't do it!	Тобі не можна!
Change bot nick. Available only for conference owner.	Зміна ніка. Доступна лише власнику конференції.

# file: ../trunk/plugins/shell.py
Execute shell command.	Виконання shell-команди.
Execute shell command without output result.	Виконання shell-команди без показу виведення команди.

# file: ../trunk/plugins/shutdown.py
%s by command from %s	%s за командою %s
reason: %s	привід: %s
Shutdown	Завершення роботи
Restart	Перезапуск
Autoupdate	Автопоновлення
Shutting down the bot. You can set reason.	Завершення роботи бота. Можна вказати параметр, який буде показаний в статусі бота при виході.
Restart the bot. You can set reason.	Перезапуск бота. Можна вказати параметр, який буде показаний в статусі бота при виході.
Autoupdate from SVN. You can set reason.	Самопоновлення бота з SVN. Можна вказати параметр, який буде показаний в статусі бота при виході.

# file: ../trunk/plugins/sokr.py
Abbreviations.\nExamples: sokr abbr, sokr 6 abbr, sokr 3-7 abbr	Абревіатури. Приклади використання: sokr abbr, sokr 6 abbr, sokr 3-7 abbr

# file: ../trunk/plugins/spy.py
what do you want to add?	що додати?
not given tracking	не задані параметри спостереження
is not specified criterion tracking	не вказаний критерій спостереження
I am not in the %s 	Мене немає в %s
Updated: %s	Поновлено: %s
what do you want remove?	що видалити?
Not found: %s	Не знайдено: %s
Monitoring conferences:	Спостереження за конференціями:
\nNext scanning across %s	\nНаступне сканування через %s
I leave your conference because low activity	Виходжу через низьку активність конференції
I leave conference %s by condition spy plugin: %s	Конференція %s залишена за умовою spy-плагіна: %s
Check conference activity\nspy add <conference>[ u<number>][ m<number>] - add conference to list. u - count users, m - count message per night. At default At least one condition - the bot will leave the conference\nspy del <conference> - remove conference from list\nspy show - show active monitoring.	Перевірка активності конференції\nspy add <conference>[ u<number>][ m<number>] - додати конференцію в список моніторингу активності. u - середня кількість учасників, m - кількість повідомлень за добу. За невиконанням хоча б однієї умови бот залишить конференцію\nspy del <conference> - видалити конференцію зі списку моніторингу\nspy show - показати активне спостереження

# file: ../trunk/plugins/srv.py
Port status at %s	Статус порту у %s
Command nslookup	Команда nslookup
Command host	Команда host
Command dig	Команда dig
Check port activity\nport server port1 [port2 ...]	Перевірка активності порту на сервері:\nport server port1 [port2 ...]

# file: ../trunk/plugins/svn.py
en_EN.UTF8	ru_RU.UTF8
Read user manual for commands...	Вивчаємо інструкції до команд...
Show svn log.\nsvn [http://]url [limit] - show last revision(s) limit\nsvn [http://]url rXXX - show XXX revision	Показ svn-лога.\nsvn [http://]url [limit] - показ останньої ревізії або кількох, якщо вказан параметр limit\nsvn [http://]url rXXX - показ ревізії з номером XXX

# file: ../trunk/plugins/talkers.py
Talkers:\nNick\t\tWords\tPhrases\tEffect\tConference	Базіки:\nНік\t\tСлів\tФраз\tКоеф.\tКонфа
Talkers:\nNick\t\tWords\tPhrases\tEffect	Базіки:\nНік\t\tСлів\tФраз\tКоеф.
Show local talkers	Показ локальної бази "Базік"
Show global talkers	Показ глобальної бази "Базік"

# file: ../trunk/plugins/test.py
Passed!	Дві смужки!
Check bot activity.	Перевірка на "живість" бота.

# file: ../trunk/plugins/th.py
Executed threads: %s | Error(s): %s	Виконано тредів: %s | Помилок виконання тредів: %s
Threads statistic	Статистика роботи тредів

# file: ../trunk/plugins/todate.py
days	днів
day	день
Days	дні
was %s %s ago	був %s %s тому
today	сьогодні
will be in %s %s	буде через %s %s
before the %s remained	до %s залишилось
Date has already in past!	Дата вже пройшла!
Calculate count of days for requested date, if the date is holiday, that returned title of holiday.\nSupported date formats: dd.mm.yyyy, dd.mm, dd.mm.yy, yyyy.mm.dd\nSupported splitters: ,-.:/\\ntodate 05.09\ntodate 5/9/2010	Розрахунок кількості днів від поточної дати до заданої, якщо на задану дату припадає свято, то повертається назва свята замість запитуваної дати\nПідтримувані формати дати: dd.mm.yyyy, dd.mm, dd.mm.yy, yyyy.mm.dd\nПідтримувані роздільники: ,-.:/\\ntodate 05.09\ntodate 5/9/2010
Calculate count of days for requested date.\nSupported date formats: dd.mm.yyyy, dd.mm, dd.mm.yy, yyyy.mm.dd\nSupported splitter: ,-.:/\\ntodate 05.09 before New year remained\ntodate 5/9/2010 before New year remained	Розрахунок кількості днів від поточної дати до заданої з можливістю вставки власного тексту\nПідтримувані формати дати: dd.mm.yyyy, dd.mm, dd.mm.yy, yyyy.mm.dd\nПідтримувані роздільники: ,-.:/\\ntodate 05.09 До Дня Перемоги залишилось\ntodate 5/9/2010 До Дня Перемоги залишилось

# file: ../trunk/plugins/torrent.py
Total results: %s \nTitle ::: Size ::: Peers [up/down]	Всього результатів: %s \nНазва ::: Розмір ::: Пiри [up/down]
\n%s. %s ::: %s ::: %s/%s\n  Torrent file: %s%s	\n%s. %s ::: %s ::: %s/%s\n  Torrent файл: %s%s
Incorrect tracker.	Невірно заданий трекер.
Search in bittorrent trackers\ntorrent rutor - search in RuTor.org\ntorrent os - search in OpenSharing.org\ntorrent tracker\nquery\ncount	Пошук по Torrent трекерах\ntorrent rutor - пошук по RuTor.org\ntorrent os - пошук по OpenSharing.org\ntorrent tracker\nquery\ncount

# file: ../trunk/plugins/turn.py
qwertyuiop[]asdfghjkl;'zxcvbnm,.`QWERTYUIOP{}ASDFGHJKL:"ZXCVBNM<>~	йцукенгшщзхїфівапролджєячсмитьбюёЙЦУКЕНГШЩЗХЇФІВАПРОЛДЖЄЯЧСМИТЬБЮЁqwertyuiop[]asdfghjkl;'zxcvbnm,.`QWERTYUIOP{}ASDFGHJKL:"ZXCVBNM<>~
QWERTYUIOP{}ASDFGHJKL:"ZXCVBNM<>~qwertyuiop[]asdfghjkl;'zxcvbnm,.`	qwertyuiop[]asdfghjkl;'zxcvbnm,.`QWERTYUIOP{}ASDFGHJKL:"ZXCVBNM<>~йцукенгшщзхїфівапролджєячсмитьбюёЙЦУКЕНГШЩЗХЇФІВАПРОЛДЖЄЯЧСМИТЬБЮЁ
Turn text from one layout to another.	Якщо текст не заданий - "перевертає" останнє повідомлення з української розкладки на англійську та назад.

# file: ../trunk/plugins/watcher.py
Timeout for ask: %s | Timeout for answer: %s | Last ask: %s | Total checks: %s	Таймаут запитів: %s | Таймаут відповідей: %s | Останній запит: %s | Усього перевірок: %s
Connection activity control.	Контроль активності з'єднання.

# file: ../trunk/plugins/wtf.py
What need to find?	Що ж будемо шукати?
Some matches in definitions: %s	Дещо схоже я бачила в: %s
No matches.	Хм. Нічого схожого я не знаю...
I know that %s is %s	Я знаю, що %s - %s
All I know is: %s	Все що я знаю - це: %s
Locale definition: %s\nGlobal: %s\nImported: %s\nTotal: %s	В цій конфі визначень: %s\nГлобальних: %s\nІмпортовано: %s\nУсього: %s
Send to private %s	Відправлено до привату %s
Nick %s not found!	Нік %s не знайдений!
\nfrom: %s %s	\nвід: %s %s
I know that %s was defined by %s %s %s	Я знаю, що %s було визначено: %s %s %s
What search?	Що ж будемо шукати?
Not enough rights!	Ти ще малий і дурний для цього!
This is global definition and not allowed to change!	Це глобальне визначення і його не можна змінити!
Definition removed!	Шкода, що таку корисну фігенцію потрібно забути...
Definition updated!	Боян, але я запам'ятаю!
Nothing to remove!	Досить бухати! Я такого не знаю!
Definition saved!	Ммм.. Щось новеньке, зараз запам'ятаю!
What need to remember?	Що ж потрібно запам'ятати?
Random definition from base.	Показ випадкового визначення з бази слів.
List of definitions in conference.\nwtfnames [all|global|import]	Показ списку визначень в конференції.\nwtfnames [all|global|import]
Definitions count.	Показ кількості визначень в конференції.
Search in definitions base.	Пошук по базі визначень.
Information about definition commiter.	Показ інформації про те, хто зробив визначення.
Show definition with nick and date.	Показ визначення разом з ніком і датою.
Show definition in private.\nwtfp word\n[nick]	Показ визначення в приват. Не залежить від того, звідки прийшла команда.\nwtfp word - показати визначення word собі в приват\nwtfp word\nnick - показати визначення word в приват nick
Show definition.	Показ визначення.
Set definition.\ndfn word=definition - remember definition as word\ndfn word= - remove definition word	Установка визначення.\ndfn word=definition - запам'ятовує definition як визначення word\ndfn word= - видаляє визначення word
Set global definition.\ngdfn word=definition - remember definition as word\ngdfn word= - remove definition word	Установка глобального визначення.\ngdfn word=definition - запам'ятовує definition як визначення word\ngdfn word= - видаляє визначення word

# file: ../trunk/plugins/www.py
RegExp not found!	RegExp не знайдений!
Site size limit overflow! Size - %skb, allowed - %skb	Перевищено допустимий розмір сторінки! Розмір - %skb, припустимо - %skb
Title: %s	Заголовок: %s
Show web page.\nwww regexp\n[http://]url - page after regexp\nwww [http://]url - without html tags	Показує зміст веб-сторінки.\nwww regexp\n[http://]url - сторінка, оброблена regexp\nwww [http://]url - сторінка з прибраними html-тегами
Show net header	Показує заголовок файлу

# file: ../trunk/plugins/wz.py
City not found!	Місто не знайдено!
Weather by airport code. Full version.	Погода за кодом аеропорту. Неоптимізований варіант.
Weather by airport code. Short version.	Погода за кодом аеропорту. Вкорочений варіант.
Weather by airport code. Optimized version.	Погода за кодом аеропорту. Оптимізований варіант.
Search weather by code, city, country.	Пошук погоди по коду міста, місту, країні.

# file: ../trunk/plugins/youtube.py
Search at YouTube	Пошук по YouTube

